Predio / Fazenda,Gleba ,Precipitação prevista para o próximo dia (mm),Precipitação prevista para os próximos 3 dias (mm),Precipitação prevista para os próximos 5 dias (mm),KPI Meteorologico
72272 CABREUVA,CA01,7.28,10.38,47.08,1
72566 CEU AZUL,CA01,6.05,9.55,34.75,1
72250 POLAQUINI,PO01,13,13.9,40.95,1
72455 ALMAR III,AL02,12.45,17.35,28.45,1.035912404
72384 SITIO SAO JOSE,ST01,6.02,14.32,37.32,1.037611433
72488 SANTA EMILIA I,SE01,8.5,16.5,44.7,1.042881331
72580 SAO GABRIEL BARBOSA,SG01,14.6,16.4,48.9,1.049970761
72434 NOSSA SENHORA DAS DORES,NS01,1.3,2.6,14.52,1.059042788
72357 ALMAR,AL01,3.4,7.9,38,1.061882129
72280 REGO D AGUA,RA01,1.5,5.1,22.3,1.089887436
72487 ESTRELA BRAS III,EB03,7.1,12.4,50.4,1.109920684
72238 RATEJO III,RT03,8.65,15.55,39.45,1.117010195
72279 ILUSAO,IL01,2.97,4.47,13.47,1.118527448
72575 SANTA TEREZINHA BARBOSA,ST01,2,5,20.52,1.119345025
72282 JUARA,JU01,3,3.7,25.3,1.122315885
72326 SANTA CLARA DO PARAISO II,SC01,1.1,3.8,24,1.134091804
71483 LOBO,LB01,5.5,8.5,18.8,1.089122156
71483 LOBO,LB02,1.9,3.5,20.8,1.175334108
71483 LOBO,LB03,2,3.3,13.9,1.156370365
71483 LOBO,LB04,2.2,3.6,22,1.125198261
71483 LOBO,LB06,2.7,7.2,23.2,1.123898042
71483 LOBO,LB07,1.8,5.4,18.38,1.241130121
71483 LOBO,LB08,2.75,2.95,17.95,1.13239786
71483 LOBO,LB09,3.6,7.4,24.2,1.109846867
72338 ESTANCIA MARIVALE,EM01,2.7,5.3,31.5,1.14900647
72278 4 IRMAOS QUEIROZ,IQ01,0.8,7,23.7,1.110629489
72278 4 IRMAOS QUEIROZ,IQ02,1.5,5.1,16.2,1.204768976
72430 LIMOEIRO,LM01,2.1,7.9,26,1.13885786
72430 LIMOEIRO,LM02,2.7,7.9,25.9,1.216978148
72465 SERTAO,ST01,1.2,9,22.63,1.190563261
72345 VALE DO RIO DA PRATA,VR01,7.5,12.4,24.7,1.189417966
72345 VALE DO RIO DA PRATA,VR02,5.9,8.5,21.5,1.272166254
72345 VALE DO RIO DA PRATA,VR03,2.9,5.6,30.75,1.227385118
72345 VALE DO RIO DA PRATA,VR04,4.2,8.8,26.1,1.103157529
72254 SANTA BARBARA,SB01,2,4.1,20.62,1.229947293
72454 MAGRINI,MA01,1.7,14.6,45.8,1.230413872
72406 RIKARI,RK01,0.7,4.2,14.1,1.242831761
72499 SERENA,SR01,1.6,3.1,14.4,1.262855753
72405 SAO JOSE VENTURA,SJ01,0.8,2.4,18.87,1.265077288
72496 ARUANAN II,AN02,0.7,1.4,21.8,1.293149744
Total Geral,,4.00925,7.70175,26.84775,1.139472597
