Cliente,Material,Volume,DataEntrega,TipoFrete,Segmento
561125447,1741252,6.1,07/08/2025,FOB,ESPECIALISTA
561125447,1621742,3.05,07/08/2025,FOB,ESPECIALISTA
561125447,1621745,9.15,07/08/2025,FOB,ESPECIALISTA
561125447,1723338,3.05,07/08/2025,FOB,ESPECIALISTA
24126,1621081,8.24,20/05/2025,FOB,MODULADO
25059,1741453,20.14,18/07/2025,FOB,MAYORISTA
25059,1741165,6.04,21/08/2025,FOB,MAYORISTA
561129905,1790809,24.28,27/08/2025,CIF,SERIADO
24126,1686197,36.93,01/09/2025,FOB,MODULADO
561093236,1741170,2.01,09/09/2025,CIF,ESPECIALISTA
561093236,1741252,33.57,09/09/2025,CIF,ESPECIALISTA
561093236,1741143,13.73,09/09/2025,CIF,ESPECIALISTA
561093236,1741150,3.05,09/09/2025,CIF,ESPECIALISTA
561093236,1741165,6.04,09/09/2025,CIF,ESPECIALISTA
561093236,1741170,2.01,09/09/2025,CIF,ESPECIALISTA
561093236,1741252,9.15,09/09/2025,CIF,ESPECIALISTA
25059,1210807,35.26,21/08/2025,FOB,MAYORISTA
24554,1741143,5.49,19/09/2025,CIP,ESPECIALISTA
24554,1741252,15.26,19/09/2025,CIP,ESPECIALISTA
24554,1621819,2.74,19/09/2025,CIP,ESPECIALISTA
24554,1210315,3.05,19/09/2025,CIP,ESPECIALISTA
24554,1626824,0.91,19/09/2025,CIP,ESPECIALISTA
24554,1639549,6.1,19/09/2025,CIP,ESPECIALISTA
24126,1654175,26.86,29/08/2025,FOB,MODULADO
24126,1632091,40.29,29/08/2025,FOB,MODULADO
24126,1632091,33.57,01/09/2025,FOB,MODULADO
24715,1747606,0.91,28/08/2025,FOB,ESPECIALISTA
24715,1723472,0.91,28/08/2025,FOB,ESPECIALISTA
24715,1622257,6.1,28/08/2025,FOB,ESPECIALISTA
561120932,1780369,4.7,18/09/2025,FOB,ESPECIALISTA
24449,1770811,0.36,29/09/2025,CIF,VENDA DIRETA
561122048,1741150,45.78,25/09/2025,FOB,MAYORISTA
561122048,1741150,45.78,25/09/2025,FOB,MAYORISTA
561122048,1741150,45.78,25/09/2025,FOB,MAYORISTA
24190,1671847,3.35,29/09/2025,FOB,SERIADO
561094803,1723472,0.91,07/10/2025,CIF,ESPECIALISTA
24126,1704944,36.93,23/09/2025,FOB,MODULADO
24126,1740264,36.93,23/09/2025,FOB,MODULADO
561122048,1741332,2.23,25/09/2025,FOB,MAYORISTA
561083768,1654872,3.47,15/10/2025,CIF,SERIADO
24126,1632091,36.93,23/09/2025,FOB,MODULADO
24126,1654175,36.93,23/09/2025,FOB,MODULADO
561123768,1209894,3.05,14/09/2025,CIF,ESPECIALISTA
25059,1741150,45.78,25/09/2025,CIF,MAYORISTA
25059,1774737,47.02,25/09/2025,CIF,MAYORISTA
561122048,1741150,45.78,25/09/2025,FOB,MAYORISTA
561122048,1741150,45.78,25/09/2025,FOB,MAYORISTA
561121760,1627897,42.5,09/09/2025,FOB,ESPECIALISTA
24715,1621742,1.52,10/09/2025,FOB,ESPECIALISTA
24715,1627897,42.5,10/09/2025,FOB,ESPECIALISTA
561083768,1654397,3.05,01/10/2025,CIF,SERIADO
133716,1622137,42.73,29/09/2025,CIF,SERIADO
561121309,1741165,24.17,17/09/2025,FOB,ESPECIALISTA
561121309,1741171,3.02,17/09/2025,FOB,ESPECIALISTA
561121309,1729120,3.05,17/09/2025,FOB,ESPECIALISTA
561121309,1729361,3.29,17/09/2025,FOB,ESPECIALISTA
561122048,1741142,6.16,25/09/2025,FOB,MAYORISTA
103899,1672763,3.29,15/10/2025,CIF,ESPECIALISTA
24235,1621745,42.73,27/08/2025,FOB,ESPECIALISTA
561133842,1626825,1.83,14/10/2025,CIF,ESPECIALISTA
561133842,1729361,3.29,14/10/2025,CIF,ESPECIALISTA
561133842,1764664,6.1,14/10/2025,CIF,ESPECIALISTA
561136993,1741165,24.17,17/10/2025,CIF,SERIADO
561136993,1654151,18.31,17/10/2025,CIF,SERIADO
561124454,1765380,14.13,18/09/2025,FOB,C. CIVIL
134248,1659257,3.35,21/10/2025,CIF,MODULADO
124595,1734847,3.05,17/10/2025,CIF,ESPECIALISTA
561126146,1741325,2.35,17/10/2025,CIP,ESPECIALISTA
561126146,1210806,4.7,17/10/2025,CIP,ESPECIALISTA
561126146,1626825,0.91,17/10/2025,CIP,ESPECIALISTA
561126146,1760737,0.91,17/10/2025,CIP,ESPECIALISTA
561126146,1210072,15.26,17/10/2025,CIP,ESPECIALISTA
561126146,1210074,1.52,17/10/2025,CIP,ESPECIALISTA
561126146,1210134,1.52,17/10/2025,CIP,ESPECIALISTA
561126146,1654186,3.29,17/10/2025,CIP,ESPECIALISTA
561126146,1723336,0.91,17/10/2025,CIP,ESPECIALISTA
561126146,1729364,0.91,17/10/2025,CIP,ESPECIALISTA
561126146,1741255,3.29,17/10/2025,CIP,ESPECIALISTA
561126146,1208721,3.05,17/10/2025,CIP,ESPECIALISTA
561126146,1627901,0.91,17/10/2025,CIP,ESPECIALISTA
561126146,1654478,1.52,17/10/2025,CIP,ESPECIALISTA
561126146,1747606,1.83,17/10/2025,CIP,ESPECIALISTA
561126146,1723336,1.83,17/10/2025,CIP,ESPECIALISTA
561126146,1723414,3.05,17/10/2025,CIP,ESPECIALISTA
561126146,1723473,9.15,17/10/2025,CIP,ESPECIALISTA
561126146,1723474,3.29,17/10/2025,CIP,ESPECIALISTA
561126146,1782263,3.05,17/10/2025,CIP,ESPECIALISTA
561126146,1782268,0.91,17/10/2025,CIP,ESPECIALISTA
561126146,1741251,3.05,17/10/2025,CIP,ESPECIALISTA
561126146,1741252,3.05,17/10/2025,CIP,ESPECIALISTA
561126146,1654476,3.29,17/10/2025,CIP,ESPECIALISTA
561126146,1668851,1.52,17/10/2025,CIP,ESPECIALISTA
561126146,1668884,3.05,17/10/2025,CIP,ESPECIALISTA
561126146,1672667,6.1,17/10/2025,CIP,ESPECIALISTA
561126146,1747858,1.83,17/10/2025,CIP,ESPECIALISTA
561126146,1208962,1.52,17/10/2025,CIP,ESPECIALISTA
561126146,1723475,3.05,17/10/2025,CIP,ESPECIALISTA
561126146,1729120,3.05,17/10/2025,CIP,ESPECIALISTA
561126146,1782262,1.83,17/10/2025,CIP,ESPECIALISTA
561126146,1782269,3.05,17/10/2025,CIP,ESPECIALISTA
25059,1741150,45.78,25/09/2025,CIF,MAYORISTA
25059,1741150,45.78,25/09/2025,CIF,MAYORISTA
561122048,1741150,45.78,25/09/2025,FOB,MAYORISTA
561122048,1741150,45.78,25/09/2025,FOB,MAYORISTA
24235,1621745,42.73,27/08/2025,FOB,ESPECIALISTA
561093136,1621742,4.57,10/09/2025,FOB,ESPECIALISTA
561093136,1627897,36.43,10/09/2025,FOB,ESPECIALISTA
561102416,1630543,0.91,20/10/2025,CIF,ESPECIALISTA
561102416,1672762,3.05,20/10/2025,CIF,ESPECIALISTA
561102416,1729383,3.05,20/10/2025,CIF,ESPECIALISTA
561102416,1729385,3.29,20/10/2025,CIF,ESPECIALISTA
561102416,1731787,0.91,20/10/2025,CIF,ESPECIALISTA
561102416,1734815,3.29,20/10/2025,CIF,ESPECIALISTA
561102416,1757145,0.91,20/10/2025,CIF,ESPECIALISTA
561102416,1614814,3.05,20/10/2025,CIF,ESPECIALISTA
561102416,1690679,3.29,20/10/2025,CIF,ESPECIALISTA
561102416,1712579,0.91,20/10/2025,CIF,ESPECIALISTA
561102416,1729120,6.1,20/10/2025,CIF,ESPECIALISTA
561102416,1729361,3.29,20/10/2025,CIF,ESPECIALISTA
561102416,1729366,3.05,20/10/2025,CIF,ESPECIALISTA
561102416,1729368,3.29,20/10/2025,CIF,ESPECIALISTA
561102416,1756897,3.29,20/10/2025,CIF,ESPECIALISTA
26964,1765938,108.69,27/08/2025,DAP,EXPORTAÇÃO
24791,1741150,30.52,30/09/2025,CIF,SERIADO
24791,1741186,12.21,30/09/2025,CIF,SERIADO
26659,1808088,50.78,06/10/2025,CIF,SERIADO
26659,1808088,50.78,06/10/2025,CIF,SERIADO
26659,1808088,50.78,06/10/2025,CIF,SERIADO
24198,1741142,18.51,16/10/2025,CIF,C. CIVIL
24198,1627897,24.28,16/10/2025,CIF,C. CIVIL
103234,1627897,15.18,14/10/2025,CIF,ESPECIALISTA
101833,1741184,47.18,07/10/2025,CIF,MODULADO
101833,1741184,47.18,07/10/2025,CIF,MODULADO
561134731,1741143,2.74,06/10/2025,FOB,ESPECIALISTA
561134731,1741150,3.05,06/10/2025,FOB,ESPECIALISTA
561134731,1741165,9.06,06/10/2025,FOB,ESPECIALISTA
561134731,1741251,3.05,06/10/2025,FOB,ESPECIALISTA
561134731,1741252,6.1,06/10/2025,FOB,ESPECIALISTA
24037,1627897,45.54,10/09/2025,FOB,ESPECIALISTA
24037,1627897,45.54,10/09/2025,FOB,ESPECIALISTA
24037,1627897,45.54,10/09/2025,FOB,ESPECIALISTA
24037,1627897,45.54,10/09/2025,FOB,ESPECIALISTA
24356,1741143,8.24,13/10/2025,CIF,ESPECIALISTA
24356,1741252,12.2,13/10/2025,CIF,ESPECIALISTA
24356,1741255,16.48,13/10/2025,CIF,ESPECIALISTA
24356,1729383,6.1,13/10/2025,CIF,ESPECIALISTA
24037,1627897,45.54,10/09/2025,FOB,ESPECIALISTA
561131643,1627897,18.21,10/09/2025,FOB,ESPECIALISTA
124828,1654074,3.05,09/10/2025,FOB,ESPECIALISTA
124828,1654149,3.05,09/10/2025,FOB,ESPECIALISTA
124828,1672656,0.91,09/10/2025,FOB,ESPECIALISTA
124828,1731199,3.05,09/10/2025,FOB,ESPECIALISTA
124828,1723336,0.91,09/10/2025,FOB,ESPECIALISTA
124828,1723338,3.05,09/10/2025,FOB,ESPECIALISTA
124828,1782262,0.91,09/10/2025,FOB,ESPECIALISTA
124828,1782269,6.1,09/10/2025,FOB,ESPECIALISTA
24192,1627897,45.54,10/09/2025,FOB,ESPECIALISTA
24037,1627897,45.54,10/09/2025,FOB,ESPECIALISTA
24037,1627897,45.54,10/09/2025,FOB,ESPECIALISTA
101610,1741166,3.05,15/10/2025,CIF,ESPECIALISTA
101610,1741167,6.59,15/10/2025,CIF,ESPECIALISTA
101610,1741255,3.29,15/10/2025,CIF,ESPECIALISTA
101610,1621820,6.1,15/10/2025,CIF,ESPECIALISTA
561106143,1667611,4.7,09/10/2025,FOB,ESPECIALISTA
561120759,1627815,6.1,19/09/2025,FOB,ESPECIALISTA
561120759,1654475,6.1,19/09/2025,FOB,ESPECIALISTA
561120759,1723473,6.1,19/09/2025,FOB,ESPECIALISTA
561120759,1729361,6.59,19/09/2025,FOB,ESPECIALISTA
561120759,1782244,6.1,19/09/2025,FOB,ESPECIALISTA
561120759,1782263,6.1,19/09/2025,FOB,ESPECIALISTA
561120759,1782264,6.59,19/09/2025,FOB,ESPECIALISTA
561124454,1741170,4.02,23/09/2025,FOB,C. CIVIL
561124454,1741172,3.08,23/09/2025,FOB,C. CIVIL
561124454,1741182,8.49,23/09/2025,FOB,C. CIVIL
561124454,1645463,1.52,23/09/2025,FOB,C. CIVIL
561083152,1741252,42.73,18/09/2025,FOB,SERIADO
561132418,1650589,42.73,10/09/2025,FOB,ESPECIALISTA
25716,1758384,43.22,02/10/2025,FOB,SERIADO
25716,1758384,37.05,02/10/2025,FOB,SERIADO
26964,1769558,144.92,26/09/2025,DAP,EXPORTAÇÃO
26964,1765938,72.46,26/09/2025,DAP,EXPORTAÇÃO
561120932,1654476,3.29,19/09/2025,FOB,ESPECIALISTA
561120932,1672857,3.05,19/09/2025,FOB,ESPECIALISTA
561120932,1723413,26.37,19/09/2025,FOB,ESPECIALISTA
561120932,1723483,6.59,19/09/2025,FOB,ESPECIALISTA
561120932,1782263,6.1,19/09/2025,FOB,ESPECIALISTA
561120932,1627815,6.1,19/09/2025,FOB,ESPECIALISTA
561120932,1627902,6.1,19/09/2025,FOB,ESPECIALISTA
561120932,1760737,0.91,19/09/2025,FOB,ESPECIALISTA
561120932,1723338,12.2,19/09/2025,FOB,ESPECIALISTA
561120932,1723413,9.89,19/09/2025,FOB,ESPECIALISTA
561120932,1723481,3.05,19/09/2025,FOB,ESPECIALISTA
561120932,1729120,6.1,19/09/2025,FOB,ESPECIALISTA
561120932,1654475,6.1,19/09/2025,FOB,ESPECIALISTA
561120932,1723338,6.1,19/09/2025,FOB,ESPECIALISTA
561120932,1723413,6.59,19/09/2025,FOB,ESPECIALISTA
561120932,1723473,6.1,19/09/2025,FOB,ESPECIALISTA
561120932,1723474,6.59,19/09/2025,FOB,ESPECIALISTA
561120932,1782263,12.21,19/09/2025,FOB,ESPECIALISTA
561121760,1654149,3.05,14/10/2025,FOB,ESPECIALISTA
