carteira_id,mes,ano,cliente_id,cliente_nome,produto_id,linha_produto_id,volume_m3,carteira_m3,faturado_m3,data_documento,incoterms,segmento,status_credito,tipo_documento_venda,numero_pedido,vendedor,regiao,centro_original,data_solicitacao_remessa,prioridade_remessa
1,11,2025,561125447,FERPLAC COMERCIO DE MADEIRA E,1741252,9,6.1,6.1,0.0,2025-08-07,FOB,ESPECIALISTA,D,ZVPV,6542619,V37 - ROSARIO REPRES. COM,Nordeste,1,2025-08-30,0
2,11,2025,561125447,FERPLAC COMERCIO DE MADEIRA E,1621742,4,3.05,3.05,0.0,2025-08-07,FOB,ESPECIALISTA,D,ZVPV,6542619,V37 - ROSARIO REPRES. COM,Nordeste,1,2025-08-30,0
3,11,2025,561125447,FERPLAC COMERCIO DE MADEIRA E,1621745,4,9.15,9.15,0.0,2025-08-07,FOB,ESPECIALISTA,D,ZVPV,6542619,V37 - ROSARIO REPRES. COM,Nordeste,1,2025-08-30,0
4,11,2025,561125447,FERPLAC COMERCIO DE MADEIRA E,1723338,5,3.05,3.05,0.0,2025-08-07,FOB,ESPECIALISTA,D,ZVPV,6542619,V37 - ROSARIO REPRES. COM,Nordeste,1,2025-08-30,0
5,11,2025,24126,IND DE MOVEIS SIMOSUL LTDA,1621081,9,8.24,8.24,0.0,2025-05-20,FOB,MODULADO,A,ZVPQ,6448550,B15 - VILMAR BRUNONI,Sul,2,2025-09-09,1
6,11,2025,25059,HSA COMERCIO DE PAINEIS EIRELI,1741453,17,20.14,20.14,0.0,2025-07-18,FOB,MAYORISTA,A,ZVPQ,6519672,B05 - KEILA FEDERIZZI,Sudeste,4,2025-09-20,0
11,11,2025,25059,HSA COMERCIO DE PAINEIS EIRELI,1741165,9,6.04,21.14,15.1,2025-08-21,FOB,MAYORISTA,A,ZVPQ,6558995,B05 - KEILA FEDERIZZI,Sudeste,1,2025-09-25,0
16,11,2025,561129905,MSB COMERCIO DE ARTIGOS PARA CASA L,1790809,4,24.28,24.28,0.0,2025-08-27,CIF,SERIADO,B,ZVOR,6568086,B48 - DANILO PAPIN,Sudeste,1,2025-09-27,0
17,11,2025,24126,IND DE MOVEIS SIMOSUL LTDA,1686197,8,36.93,36.93,0.0,2025-09-01,FOB,MODULADO,A,ZVPQ,6571935,B15 - VILMAR BRUNONI,Sul,3,2025-09-29,1
26,11,2025,561093236,VERD COMERCIO DE MADEIRA E FERRAGEM,1741170,9,2.01,2.01,0.0,2025-09-09,CIF,ESPECIALISTA,A,ZVPQ,6582820,B43 - LUCIANA DA ROCHA,Nordeste,1,2025-09-30,0
27,11,2025,561093236,VERD COMERCIO DE MADEIRA E FERRAGEM,1741252,9,33.57,33.57,0.0,2025-09-09,CIF,ESPECIALISTA,A,ZVPQ,6582820,B43 - LUCIANA DA ROCHA,Nordeste,1,2025-09-30,0
28,11,2025,561093236,VERD COMERCIO DE MADEIRA E FERRAGEM,1741143,9,13.73,13.73,0.0,2025-09-09,CIF,ESPECIALISTA,A,ZVPQ,6582821,B43 - LUCIANA DA ROCHA,Nordeste,1,2025-09-30,0
29,11,2025,561093236,VERD COMERCIO DE MADEIRA E FERRAGEM,1741150,9,3.05,3.05,0.0,2025-09-09,CIF,ESPECIALISTA,A,ZVPQ,6582821,B43 - LUCIANA DA ROCHA,Nordeste,1,2025-09-30,0
30,11,2025,561093236,VERD COMERCIO DE MADEIRA E FERRAGEM,1741165,9,6.04,6.04,0.0,2025-09-09,CIF,ESPECIALISTA,A,ZVPQ,6582821,B43 - LUCIANA DA ROCHA,Nordeste,1,2025-09-30,0
31,11,2025,561093236,VERD COMERCIO DE MADEIRA E FERRAGEM,1741170,9,2.01,2.01,0.0,2025-09-09,CIF,ESPECIALISTA,A,ZVPQ,6582821,B43 - LUCIANA DA ROCHA,Nordeste,1,2025-09-30,0
32,11,2025,561093236,VERD COMERCIO DE MADEIRA E FERRAGEM,1741252,9,9.15,9.15,0.0,2025-09-09,CIF,ESPECIALISTA,A,ZVPQ,6582821,B43 - LUCIANA DA ROCHA,Nordeste,1,2025-09-30,0
33,11,2025,25059,HSA COMERCIO DE PAINEIS EIRELI,1210807,14,35.26,35.26,0.0,2025-08-21,FOB,MAYORISTA,D,ZVPQ,6558983,B05 - KEILA FEDERIZZI,Sudeste,2,2025-09-30,0
58,11,2025,24554,MADEIREIRA ITAIPU LTDA,1741143,9,5.49,5.49,0.0,2025-09-19,CIP,ESPECIALISTA,A,ZVPQ,6594015,V44 - MAIS BRASIL REP LTDA,Nordeste,1,2025-10-06,0
59,11,2025,24554,MADEIREIRA ITAIPU LTDA,1741252,9,15.26,15.26,0.0,2025-09-19,CIP,ESPECIALISTA,A,ZVPQ,6594015,V44 - MAIS BRASIL REP LTDA,Nordeste,1,2025-10-06,0
60,11,2025,24554,MADEIREIRA ITAIPU LTDA,1621819,4,2.74,2.74,0.0,2025-09-19,CIP,ESPECIALISTA,A,ZVPQ,6594015,V44 - MAIS BRASIL REP LTDA,Nordeste,1,2025-10-06,0
61,11,2025,24554,MADEIREIRA ITAIPU LTDA,1210315,3,3.05,3.05,0.0,2025-09-19,CIP,ESPECIALISTA,A,ZVPQ,6594015,V44 - MAIS BRASIL REP LTDA,Nordeste,1,2025-10-06,0
62,11,2025,24554,MADEIREIRA ITAIPU LTDA,1626824,5,0.91,0.91,0.0,2025-09-19,CIP,ESPECIALISTA,A,ZVPQ,6594015,V44 - MAIS BRASIL REP LTDA,Nordeste,1,2025-10-06,0
63,11,2025,24554,MADEIREIRA ITAIPU LTDA,1639549,5,6.1,6.1,0.0,2025-09-19,CIP,ESPECIALISTA,A,ZVPQ,6594015,V44 - MAIS BRASIL REP LTDA,Nordeste,1,2025-10-06,0
64,11,2025,24126,IND DE MOVEIS SIMOSUL LTDA,1654175,8,26.86,26.86,0.0,2025-08-29,FOB,MODULADO,A,ZVPQ,6570962,B15 - VILMAR BRUNONI,Sul,3,2025-10-06,1
65,11,2025,24126,IND DE MOVEIS SIMOSUL LTDA,1632091,8,40.29,40.29,0.0,2025-08-29,FOB,MODULADO,A,ZVPQ,6570973,B15 - VILMAR BRUNONI,Sul,3,2025-10-06,1
66,11,2025,24126,IND DE MOVEIS SIMOSUL LTDA,1632091,8,33.57,33.57,0.0,2025-09-01,FOB,MODULADO,A,ZVPQ,6572833,B15 - VILMAR BRUNONI,Sul,3,2025-10-06,1
69,11,2025,24715,ADAMY & IURCZAKI LTDA,1747606,3,0.91,0.91,0.0,2025-08-28,FOB,ESPECIALISTA,A,ZVPQ,6569598,V37 - ROSARIO REPRES. COM,Nordeste,1,2025-10-07,0
70,11,2025,24715,ADAMY & IURCZAKI LTDA,1723472,5,0.91,0.91,0.0,2025-08-28,FOB,ESPECIALISTA,A,ZVPQ,6569598,V37 - ROSARIO REPRES. COM,Nordeste,1,2025-10-07,0
73,11,2025,24715,ADAMY & IURCZAKI LTDA,1622257,5,6.1,6.1,0.0,2025-08-28,FOB,ESPECIALISTA,A,ZVPQ,6569602,V37 - ROSARIO REPRES. COM,Nordeste,3,2025-10-07,0
88,11,2025,561120932,CASA DO MDF E FERRAGENS COMERCIAL L,1780369,14,4.7,4.7,0.0,2025-09-18,FOB,ESPECIALISTA,B,ZVPQ,6592623,V08 - ELIZANGELLA TONATTO,Sul,2,2025-10-09,1
104,11,2025,24449,ARAUCO INDUSTRIA DE PAINEIS SA,1770811,1,0.36,0.36,0.0,2025-09-29,CIF,VENDA DIRETA,A,ZOUT,6606029,V41 - VENDA RELACIONADAS,Sul,1,2025-10-10,0
105,11,2025,561122048,HSA COMERCIO DE PAINEIS LTDA,1741150,9,45.78,45.78,0.0,2025-09-25,FOB,MAYORISTA,D,ZVPQ,6600948,B05 - KEILA FEDERIZZI,Sudeste,2,2025-10-10,0
106,11,2025,561122048,HSA COMERCIO DE PAINEIS LTDA,1741150,9,45.78,45.78,0.0,2025-09-25,FOB,MAYORISTA,D,ZVPQ,6600949,B05 - KEILA FEDERIZZI,Sudeste,2,2025-10-10,0
