Tabela,Pos,Coluna,Tipo,Tamanho,Precisao,Escala,Aceita_Nulo
Carteira,1,CarteiraId,int,,10.0,0.0,NO
Carteira,2,Mes,int,,10.0,0.0,NO
Carteira,3,Ano,int,,10.0,0.0,NO
Carteira,4,CentroId,int,,10.0,0.0,NO
Carteira,5,Vendedor,varchar,200.0,,,YES
Carteira,6,ClienteId,varchar,20.0,,,NO
Carteira,7,Cidade,varchar,200.0,,,YES
Carteira,8,Regiao,varchar,200.0,,,YES
Carteira,9,StatusCredito,char,1.0,,,YES
Carteira,10,DataLiberacaoOriginal,date,,,,YES
Carteira,11,TipoDocumentoVenda,varchar,20.0,,,YES
Carteira,12,NumeroPedido,int,,10.0,0.0,YES
Carteira,13,NumeroPedido_Referencia,varchar,10.0,,,YES
Carteira,14,Incoterms,varchar,20.0,,,NO
Carteira,15,DataDocumento,date,,,,NO
Carteira,16,DataReferenciaCliente,date,,,,YES
Carteira,17,DataSolicitacaoRemessa,date,,,,YES
Carteira,18,NotaFiscal,varchar,10.0,,,YES
Carteira,19,DataFaturamento,date,,,,YES
Carteira,20,CondicoesPagamentos,varchar,4.0,,,YES
Carteira,21,LinhaProdutoId,int,,10.0,0.0,YES
Carteira,22,ProdutoId,varchar,18.0,,,NO
Carteira,23,Deposito,int,,10.0,0.0,NO
Carteira,24,Espessura,decimal,,9.0,2.0,YES
Carteira,25,TextoBreveMaterial,varchar,500.0,,,YES
Carteira,26,TextoComercial,varchar,500.0,,,YES
Carteira,27,StatusRemessa,bit,,,,YES
Carteira,28,StatusTransporte,bit,,,,YES
Carteira,29,QtdConfirmadaDesc,bit,,,,YES
Carteira,30,Entrega,int,,10.0,0.0,YES
Carteira,31,DataCriacaoEntrega,date,,,,YES
Carteira,32,Transporte,int,,10.0,0.0,YES
Carteira,33,DataCriacaoTransporte,date,,,,YES
Carteira,34,PedidoConfirmado,varchar,50.0,,,YES
Carteira,35,Segmento,varchar,50.0,,,YES
Carteira,36,DataEfetivaFixa,date,,,,YES
Carteira,37,CarteiraM3,decimal,,9.0,2.0,NO
Carteira,38,Faturado,decimal,,9.0,2.0,NO
Carteira,39,Saldo,decimal,,9.0,2.0,NO
Carteira,40,CarteiraChapas,int,,10.0,0.0,YES
Carteira,41,Incoterms2,varchar,100.0,,,YES
Carteira,42,PrioridadeRemessa,int,,10.0,0.0,YES
Carteira,43,VendedorInterno,varchar,200.0,,,YES
Carteira,44,GerenteRegional,varchar,200.0,,,YES
Carteira,45,CanalDistribuicao,int,,10.0,0.0,YES
Carteira,46,DataPrevistaProducao,smalldatetime,,,,YES
Centro,1,CentroId,int,,10.0,0.0,NO
Centro,2,Codigo,varchar,10.0,,,NO
Centro,3,Nome,varchar,50.0,,,NO
Centro,4,Ativo,bit,,,,NO
Centro,5,DataHoraExclusao,smalldatetime,,,,YES
Centro,6,PorcentagemIndustria,int,,10.0,0.0,NO
Centro,7,PorcentagemRevenda,int,,10.0,0.0,NO
Cliente,1,ClienteId,varchar,20.0,,,NO
Cliente,2,Nome,varchar,200.0,,,NO
FamiliaProduto,1,FamiliaProdutoId,int,,10.0,0.0,NO
FamiliaProduto,2,Codigo,varchar,10.0,,,NO
FamiliaProduto,3,Nome,varchar,50.0,,,NO
FamiliaProduto,4,Ativa,bit,,,,NO
FamiliaProduto,5,DataHoraRemocao,smalldatetime,,,,YES
LinhaProducao,1,LinhaProducaoId,int,,10.0,0.0,NO
LinhaProducao,2,CentroId,int,,10.0,0.0,NO
LinhaProducao,3,Nome,varchar,50.0,,,NO
LinhaProducao,4,Exportacao,bit,,,,NO
LinhaProducao,5,Ativa,bit,,,,NO
LinhaProducao,6,DataHoraExclusao,smalldatetime,,,,YES
LinhaProducao_LinhaProduto,1,LinhaProducaoId,int,,10.0,0.0,NO
LinhaProducao_LinhaProduto,2,LinhaProdutoId,int,,10.0,0.0,NO
LinhaProduto,1,LinhaProdutoId,int,,10.0,0.0,NO
LinhaProduto,2,FamiliaProdutoId,int,,10.0,0.0,NO
LinhaProduto,3,Nome,varchar,50.0,,,NO
LinhaProduto,4,Ativa,bit,,,,NO
LinhaProduto,5,Substrato,bit,,,,NO
LinhaProduto,6,LinhaProdutoId_Substrato,int,,10.0,0.0,YES
LinhaProduto,7,DataHoraRemocao,smalldatetime,,,,YES
LinhaProduto,8,Grupo,varchar,50.0,,,YES
Planejamento,1,PlanejamentoId,char,36.0,,,NO
