PlanejamentoId,DataHoraCriacao,Situacao,Mes,Ano,Bytes_Json,Json_Valido,Tem_Alocacao_Raiz,Tem_Alocacao_Simulacao
07168df5-5040-4975-90d1-e1a7b62ad82f,2025-11-18 21:58:00,2,12,2025,12038,1,1,0
fd4c5568-1336-4dea-a092-8cae71c2ec6c,2025-11-18 21:40:00,2,11,2025,13488,1,1,0
81a8fe98-db25-407c-b1a5-95c9c544ab7b,2025-10-16 18:39:00,2,10,2025,12342,1,1,0
b174a8fc-8c46-42a6-ab35-16efcad228a0,2025-08-21 14:54:00,2,9,2025,12076,1,1,0
ec424136-afbb-455a-aaa2-5fdc1a6549c8,2025-07-28 14:11:00,2,8,2025,13495,1,1,0
3219e533-2842-4828-ac6e-eb6ffc8da5f6,2025-07-18 10:44:00,2,7,2025,12074,1,1,0
95082e6a-c0de-4fc9-9e32-933ccf2207de,2025-06-16 08:46:00,2,6,2025,4995,1,1,0
00d68e56-5953-486b-a94b-51bb8e570c5e,2025-05-19 12:48:00,2,5,2025,6879,1,1,0
845fcd93-09cb-44f7-a11b-8bc70391f444,2025-01-02 18:49:00,2,1,2025,6466,1,1,0
f65122aa-da41-4790-9f87-13a76dfe0449,2024-12-06 12:38:00,2,12,2024,7197,1,1,0
4f4ffe87-be7b-41a3-b0b0-e38175898c74,2024-05-15 23:36:00,2,3,2025,6568,1,1,0
d8ed86fa-23ad-4d56-95e6-45137b194ef8,2024-04-25 17:15:00,2,5,2024,13202,1,1,0
