Campo,Valor,Linhas,Volume_M3
Incoterms,CIF,7020,84357.46
Incoterms,FOB,7018,61732.14
Incoterms,CIP,665,6190.99
Incoterms,DAP,63,5296.8
Incoterms,FCA,95,1342.67
Incoterms2,(nulo),9657,95369.33
Incoterms2,não antecipar,436,7506.41
Incoterms2,.não antecipar,339,4615.63
Incoterms2,PECALLAO,56,2593.5
Incoterms2,MXCIUDAD DE MEXICO,27,2377.69
Incoterms2,Prioridade,77,2150.54
Incoterms2,MXMONTERREY,24,1983.23
Incoterms2,acordo diretoria,79,1792.41
Incoterms2,Aut. Flavio,42,1744.44
Incoterms2,nao antecipar - DEZEMBRO,227,1550.77
Incoterms2,programação Novembro,45,1129.03
Incoterms2,PODE ANTECIPAR URGENTE,95,1083.57
Incoterms2,PIEN,35,1005.15
Incoterms2,Programação Dezembro,49,937.36
Incoterms2,COBUENAVENTURA,15,904.39
Incoterms2,PEDIDO P/ DEZEMBRO,239,893.17
Incoterms2,USMTN,31,892.52
Incoterms2,ANTECIPA,113,850.93
Incoterms2,CLSANTIAGO,35,835.92
Incoterms2,nao antecipar - NOVEMBRO,97,763.05
Incoterms2,deposito fechado 122740,102,745.09
Incoterms2,PODE ANTECIPAR,187,744.1
Incoterms2,MXGUADALAJARA,10,711.64
Incoterms2,Subst. Ped. PB02 antecipar,15,691.7
Incoterms2,.dezembro,80,646.32
Incoterms2,Subst. Ped. PB02,13,599.99
Incoterms2,ECGUAYAQUIL,16,572.4
Incoterms2,COBUN,27,535.16
Incoterms2,ORDEM DE COMPRA   Nº 119727,24,463.59
Incoterms2,nao realocar,93,438.53
Incoterms2,Programado para o dia 15/10,13,364.4
Incoterms2,USHOU,12,338.75
Incoterms2,ESTUFAGEM PLANTA,32,336.29
Incoterms2,LC EXCEDIDO,6,314.53
Incoterms2,**Itinerário Ok**Beviane**,74,310.45
Incoterms2,Negociação Gmad,7,301.15
Incoterms2,ORDEM DE COMPRA Nº 000043,36,277.96
Incoterms2,PEDIDO DEZEMBRO,30,277.47
Incoterms2,.nao pode antecipar,7,277.32
Incoterms2,HNPUERTO CORTES,21,273.99
Incoterms2,Programação Outubro,19,273.53
Incoterms2,BOSANTACRUZ,52,266.94
Incoterms2,.URGENTE,24,257.22
Incoterms2,MXGUAYMAS,5,252.85
Incoterms2,MXTIJUANA,2,224.24
Incoterms2,RB nao realocar,40,219.14
Incoterms2,.FATURAR APÓS 08/12,73,217.48
Incoterms2,ENTREGAR 26.11,6,216.94
Incoterms2,PROGRAMAR 30/12/2025,60,213.41
Incoterms2,ORDEM DE COMPRA   Nº 119727,32,207.89
Incoterms2,Negociação com o Grupo Gmad,77,199.29
Incoterms2,faturar semana 46 data base,4,197.8
Incoterms2,CNQINGDAO,1,193.2
Incoterms2,UB / nao realocar,30,192.5
Incoterms2,entregar 19.11,5,191.01
Incoterms2,USCHS,7,187.04
Incoterms2,acordo comercial,4,183.12
Incoterms2,entregar 13.11,5,182.67
Incoterms2,antecipar,46,180.16
Incoterms2,NÃO ANTECIPAR FAT 21/09,10,175.45
Incoterms2,faturar máximo 2 ao dia,53,175.2
Incoterms2,N Antecipar,52,175.11
Incoterms2,.PODE ANTECIPAR,6,175.01
Incoterms2,faturar apenas uma ao dia,6,173.47
Incoterms2,.faturar 2 por dia máximo,5,172.55
Incoterms2,.FOB RECOLHIDO,27,172.1
Incoterms2,Pedido do acordo comercial,31,171.37
Incoterms2,não inverter,47,155.28
Incoterms2,ENTREGAR 28.11,3,150.32
Incoterms2,PROGRAMAR 10/12/2025,42,149.4
Incoterms2,ENTREGAR 17.11,4,138.74
Incoterms2,Prioridade extra,3,137.34
Incoterms2,Programação julho,3,135.15
Incoterms2,nao realocar fat dez,30,134.96
Incoterms2,PROGRAMAR 20/12/2025,36,130.92
Incoterms2,PROGRAMAR PARA DEZEMBRO,43,127.91
Incoterms2,ANTECIPAR URGENTE,12,116.56
Incoterms2,FOB RECOLHIDO,14,113.19
Incoterms2,ENTREGAR 25.11,3,112.61
Incoterms2,PAGO AGUARDANDO MATERIAL,29,110.88
Incoterms2,ORDEM DE COMPRA Nº 118244,6,104.73
Incoterms2,CARREGAR UMA POR DIA,2,104.54
Incoterms2,Programação Dezembro mad,4,100.71
Incoterms2,.ORDEM DE COMPRA   Nº 119727,29,100.6
Incoterms2,NAO ANTECIPAR - 2/11,3,100.56
